team,opposition,minute_taken,scoreline,venue,previous_penalty,natural_foot,position_style,competition,gk,aim
Man U,West Brom,11,draw,Home,N/A,right,left,Carling,Hoult,left
Portugal,Iran,80,lead,neutral,1,right,left,WC,Mirzapour,left
Portugal,Denmark,58,losing,away,1,right,left,friendly,Sorensen,right
Man U,Wigan,50,lead,home,0,right,left,EPL,Kirkland,left
Man U,Watford,20,draw,home,0,right,left,EPL,Lee,left
Man U,Spurs,45,draw,away,1,right,left,EPL,Robinson,left
Man U,Middlesbrough,68,losing,away,1,right,left,FA Cup,Schwarzer,left
Man U,Middlesbrough,76,draw,home,1,right,left,FA Cup,Schwarzer,right
Man U,Man City,33,draw,away,1,right,left,EPL,Isaksson,left
Man U,Dynamo Kyiv,68,lead,away,1,right,left,UCL,Shovkovskiy,left
Man U,Derby County,90,lead,home,1,right,left,EPL,Bywater,left
Man U,Everton,88,draw,home,1,right,left,EPL,Howard,right
Man U,West Ham,66,lead,away,1,right,left,EPL,Green,left
Man U,Spurs,69,draw,home,0,right,left,FA Cup,Cerny,left
Man U,Arsenal,53,losing,home,1,right,left,EPL,Lehmann,left
Man U,Barcelona,2,draw,away,1,right,left,UCL,Valdes,right
Man U,Wigan,32,draw,away,0,right,left,EPL,Kirkland,right
Man U,Bolton,60,draw,home,1,right,left,EPL,Jaaskelainen,right
Man U,Derby County,89,lead,home,1,right,left,Carling,Carroll,left
Man U,Everton,44,draw,home,1,right,left,EPL,Howard,left
Portugal,Finland,78,draw,home,1,right,left,friendly,Jaaskelainen,right
Man U,Liverpool,23,draw,home,1,right,left,EPL,Reina,left
Man U,Spurs,57,losing,home,1,right,left,EPL,Gomes,middle
Real Madrid,Depotivo La Coruna,35,draw,home,1,right,left,La Liga,Aranzubia,left
Real Madrid,Almeria,82,lead,home,1,right,left,La Liga,Alves,left
Real Madrid,Tenerife,79,lead,away,0,right,left,La Liga,Aragoneses,right
Real Madrid,Racing Santander,55,lead,home,1,right,left,La Liga,Tono Rodriguez,left
Real Madrid,Athletic Bilbao,21,draw,home,1,right,left,La Liga,Iraizoz,right
Real Madrid,Espanyol,28,draw,home,1,right,left,La Liga,Kameni,left
Real Madrid,Malaga,50,lead,away,1,right,left,La Liga,Galatto,left
Real Madrid,Racing Santander,55,lead,home,1,right,left,La Liga,Tono Rodriguez,right
Real Madrid,Athletic Bilbao,90,lead,home,1,right,left,La Liga,Iraizoz,left
Real Madrid,Ajax,81,lead,away,1,right,left,UCL,Stekelenburg,middle
Real Madrid,Getafe,11,draw,away,1,right,left,La Liga,Codina,left
Real Madrid,Malaga,67,lead,home,1,right,left,La Liga,Caballero,left
Real Madrid,Barcelona,82,losing,home,1,right,left,La Liga,Valdes,right
Real Madrid,Getafe,90,lead,home,1,right,left,La Liga,Ustari,middle
Portugal,Cyprus,35,draw,away,1,right,left,friendly,Poursaitidis,left
Real Madrid,Getafe,59,draw,home,1,right,left,La Liga,Moya,right
Real Madrid,Rayo Vallecano,51,lead,home,1,right,left,La Liga,Gimenez,left
Real Madrid,Rayo Vallecano,84,lead,home,1,right,left,La Liga,Gimenez,middle
Real Madrid,Lyon,69,lead,away,1,right,left,UCL,Lloris,middle
Real Madrid,Osasuna,58,lead,home,1,right,left,La Liga,Andres Fernandez,right
Real Madrid,Atletico Madrid,24,losing,home,1,right,left,La Liga,Courtois,left
Real Madrid,Atletico Madrid,82,lead,home,1,right,left,La Liga,Asenjo,left
Real Madrid,Sevilla,85,lead,away,1,right,left,La Liga,Varas,right
Real Madrid,Athletic Bilbao,46,draw,home,1,right,left,La Liga,Iraizoz,left
Real Madrid,Athletic Bilbao,67,lead,home,1,right,left,La Liga,Iraizoz,left
Real Madrid,Levante,45,losing,home,1,right,left,La Liga,Munua,right
Real Madrid,Atletico Madrid,83,lead,away,1,right,left,La Liga,Courtois,left
Real Madrid,Bayern Munich,6,draw,home,1,right,left,UCL,Neuer,right
Real Madrid,Athletic Bilbao,12,draw,away,1,right,left,La Liga,Iraizoz,middle
Real Madrid,Granada,81,losing,away,0,right,left,La Liga,Julio Cesar,right
Portugal,Turkey,64,losing,home,1,right,left,friendly,Demirel,right
Real Madrid,Rayo Vallecano,70,lead,away,0,right,left,La Liga,Martinez,right
Real Madrid,Depotivo La Coruna,23,losing,home,1,right,left,La Liga,Aranzubia,right
Real Madrid,Depotivo La Coruna,84,lead,home,1,right,left,La Liga,Aranzubia,left
Real Madrid,Celta Vigo,67,lead,home,1,right,left,La Liga,Alvarez,left
Real Madrid,Getafe,33,draw,home,1,right,left,La Liga,Moya,left
Real Madrid,Barcelona,57,lead,away,1,right,left,Copa Del Rey,Pinto,left
Real Madrid,Celta Vigo,72,draw,away,1,right,left,La Liga,Varas,middle
Real Madrid,Malaga,22,draw,home,1,right,left,La Liga,Caballero,middle
Real Madrid,Getafe,34,draw,home,1,right,left,La Liga,Moya,left
Real Madrid,Elche,90,draw,away,1,right,left,La Liga,Herrera,left
Real Madrid,Malaga,90,lead,home,1,right,left,La Liga,Caballero,left
Real Madrid,Juventus,29,draw,home,1,right,left,UCL,Buffon,left
Real Madrid,Sevilla,31,lead,home,1,right,left,La Liga,Beto,right
Real Madrid,Real Sociedad,26,lead,home,1,right,left,La Liga,Bravo,middle
Real Madrid,Copenhagen,89,lead,away,1,right,left,UCL,Wiland,middle
Real Madrid,Atletico Madrid,7,draw,away,0,right,left,La Liga,Aranzubia,left
Real Madrid,Atletico Madrid,16,lead,away,1,right,left,La Liga,Aranzubia,left
